epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
16,846.858,0.78893,0.9548,1.10338,0.78961,0.68101,0.81806,0.69581,0.60597,1.40972,0.99722,0.0008515,0.0008515,0.0008515
17,918.506,0.78655,0.94346,1.09489,0.67171,0.77187,0.76246,0.62585,0.77338,1.13621,1.14852,0.0008416,0.0008416,0.0008416
18,983.301,0.80179,0.9432,1.1161,0.74804,0.86552,0.87652,0.76614,0.57927,0.92637,0.99097,0.0008317,0.0008317,0.0008317
19,1039.04,0.79143,0.96859,1.12669,0.78379,0.72851,0.86314,0.76181,0.61906,1.03429,1.02837,0.0008218,0.0008218,0.0008218
20,1093.45,0.75045,0.93286,1.09393,0.61529,0.70142,0.69924,0.6221,0.62394,1.35106,1.01283,0.0008119,0.0008119,0.0008119
21,1155.23,0.74724,0.89684,1.08372,0.8597,0.61442,0.71404,0.66635,0.49992,1.00954,0.95788,0.000802,0.000802,0.000802
22,1221.82,0.70261,0.862,1.07757,0.90396,0.77434,0.80884,0.70425,0.61982,0.83117,1.01167,0.0007921,0.0007921,0.0007921
23,1288.19,0.67428,0.84518,1.04914,0.75199,0.83895,0.8535,0.78435,0.51186,0.85111,0.94536,0.0007822,0.0007822,0.0007822
24,1364.86,0.73468,0.86217,1.07636,0.66442,0.83043,0.81725,0.73886,0.50017,1.01862,0.93922,0.0007723,0.0007723,0.0007723
25,1426.38,0.75279,0.88342,1.09797,0.7522,0.89478,0.87456,0.78114,0.56725,0.81551,0.9723,0.0007624,0.0007624,0.0007624
26,1493.86,0.71288,0.82894,1.08304,0.83485,0.71732,0.74897,0.69982,0.45743,0.75442,0.92946,0.0007525,0.0007525,0.0007525
27,1551.23,0.67087,0.76582,1.04849,0.81399,0.90604,0.87954,0.7904,0.51765,0.81241,0.95306,0.0007426,0.0007426,0.0007426
28,1619.47,0.693,0.80458,1.08376,0.89178,0.87972,0.89405,0.78381,0.6339,0.74959,1.00676,0.0007327,0.0007327,0.0007327
29,1693.95,0.67275,0.75602,1.06195,0.90514,0.85588,0.89575,0.81733,0.49382,0.7436,0.94788,0.0007228,0.0007228,0.0007228
30,1765.72,0.67199,0.72936,1.03533,0.82487,0.70454,0.78629,0.68377,0.60097,1.13364,1.02557,0.0007129,0.0007129,0.0007129
31,1830.72,0.72387,0.75565,1.09011,0.81359,0.62838,0.70578,0.63489,0.57682,1.26674,1.02428,0.000703,0.000703,0.000703
32,1904.54,0.65686,0.7369,1.04758,0.83693,0.87221,0.85786,0.78716,0.48706,0.75731,0.94314,0.0006931,0.0006931,0.0006931
33,2395.67,0.62842,0.68888,1.04179,0.8024,0.87681,0.86259,0.75809,0.62684,0.8012,1.00164,0.0006832,0.0006832,0.0006832
34,2458.96,0.67816,0.7547,1.07232,0.79677,0.83843,0.85898,0.75945,0.57695,0.93478,0.98391,0.0006733,0.0006733,0.0006733
35,2524.37,0.64352,0.78248,1.04751,0.79973,0.86948,0.86618,0.74876,0.65881,0.75681,1.02588,0.0006634,0.0006634,0.0006634
36,2588.71,0.58198,0.66605,1.00662,0.81578,0.88714,0.87766,0.77709,0.57118,0.80208,0.97276,0.0006535,0.0006535,0.0006535
37,2665.6,0.65971,0.67521,1.0563,0.82743,0.86279,0.87485,0.74681,0.73648,0.79355,1.06115,0.0006436,0.0006436,0.0006436
38,2744.05,0.69822,0.7027,1.07943,0.87691,0.8155,0.86405,0.8001,0.4649,0.66956,0.92417,0.0006337,0.0006337,0.0006337
39,2825.64,0.66248,0.68844,1.04234,0.74771,0.90377,0.91078,0.76607,0.7904,0.73986,1.10761,0.0006238,0.0006238,0.0006238
40,2905.2,0.64401,0.67741,1.05532,0.85144,0.88258,0.9028,0.81224,0.50588,0.64717,0.9395,0.0006139,0.0006139,0.0006139
41,2980.04,0.58876,0.62467,1.00559,0.8487,0.91728,0.91602,0.8063,0.57724,0.66623,0.97558,0.000604,0.000604,0.000604
42,3050.19,0.58662,0.57664,1.00821,0.80176,0.91493,0.91808,0.83665,0.48006,0.60636,0.94391,0.0005941,0.0005941,0.0005941
43,3106.51,0.61757,0.61737,1.02657,0.83376,0.90752,0.91361,0.81917,0.52653,0.66071,0.96358,0.0005842,0.0005842,0.0005842
44,3170.58,0.58796,0.57856,1.02053,0.85355,0.91155,0.91847,0.84641,0.42008,0.6141,0.90815,0.0005743,0.0005743,0.0005743
45,3236.27,0.58831,0.58919,1.01524,0.82002,0.91915,0.92517,0.82796,0.51223,0.624,0.92822,0.0005644,0.0005644,0.0005644
46,3316.07,0.5851,0.53599,1.01164,0.80939,0.91347,0.91559,0.8363,0.47988,0.62224,0.91786,0.0005545,0.0005545,0.0005545
47,3395.56,0.60774,0.58076,1.02693,0.80287,0.90925,0.90058,0.83525,0.43224,0.56574,0.916,0.0005446,0.0005446,0.0005446
48,3460.89,0.62627,0.59859,1.03975,0.78655,0.93603,0.90797,0.8191,0.49891,0.62858,0.95565,0.0005347,0.0005347,0.0005347
49,3554.97,0.63722,0.55448,1.02632,0.85012,0.92308,0.9115,0.84013,0.42729,0.57292,0.91379,0.0005248,0.0005248,0.0005248
50,3625.46,0.56734,0.56292,1.00415,0.87781,0.91593,0.90914,0.82885,0.53321,0.61927,0.94685,0.0005149,0.0005149,0.0005149
51,3695.37,0.58914,0.52291,1.00807,0.84058,0.8893,0.89574,0.83254,0.45009,0.62697,0.9271,0.000505,0.000505,0.000505
52,3774.37,0.62496,0.56736,1.03332,0.87551,0.85545,0.89223,0.79037,0.5915,0.62319,0.98349,0.0004951,0.0004951,0.0004951
53,3855.53,0.59184,0.56663,1.01375,0.90679,0.85339,0.89361,0.79408,0.58946,0.64734,0.98663,0.0004852,0.0004852,0.0004852
54,3955.91,0.53433,0.5217,1.00199,0.80092,0.91225,0.9042,0.83712,0.49585,0.58308,0.93243,0.0004753,0.0004753,0.0004753
55,4053.33,0.55361,0.51841,1.00331,0.84146,0.84652,0.83106,0.77761,0.47049,0.61229,0.92137,0.0004654,0.0004654,0.0004654
56,4137.86,0.51952,0.46325,0.98804,0.86499,0.91894,0.89701,0.83042,0.48455,0.59413,0.92838,0.0004555,0.0004555,0.0004555
57,4284.22,0.52704,0.5079,0.9887,0.90081,0.84035,0.89382,0.82905,0.46175,0.63345,0.9256,0.0004456,0.0004456,0.0004456
58,4369.8,0.51577,0.48326,0.98348,0.80201,0.85801,0.8941,0.8366,0.42522,0.67224,0.90654,0.0004357,0.0004357,0.0004357
59,4473.02,0.53049,0.50084,0.98059,0.86634,0.8921,0.9078,0.81681,0.51818,0.56646,0.94593,0.0004258,0.0004258,0.0004258
